_index,_type,_id,_score,_ignored/0,_source/general/name,_source/general/id,_source/general/contacts/website,_ignored/1
museum,_doc,10024,1,general.description.keyword,Музей-усадьба «Ботик Петра I»,10024,http://museumpereslavl.ru,
museum,_doc,10049,1,general.description.keyword,Чувашский государственный художественный музей,10049,http://www.artmuseum.ru,
museum,_doc,101,1,general.description.keyword,Ровеньский краеведческий музей,101,http://museum-rovenki.bel.muzkult.ru,
museum,_doc,10162,1,general.description.keyword,Владимиро-Суздальский музей-заповедник. Спасо-Евфимиев монастырь,10162,http://www.vladmuseum.ru/museums/complexs/8,
museum,_doc,10200,1,general.description.keyword,Воскресенский районный народный краеведческий музей,10200,http://vkm-museum.nnov.muzkult.ru,
museum,_doc,10203,1,general.description.keyword,Историко-археологический и природный музей «Русенихинское городище»,10203,http://vkm-museum.nnov.muzkult.ru,
museum,_doc,10205,1,general.description.keyword,Староустинский краеведческий музей,10205,http://vkm-museum.nnov.muzkult.ru,
museum,_doc,10312,1,general.description.keyword,Муниципальный краеведческий музей г. Волчанска,10312,http://volchanskmuseum.blogspot.ru,
museum,_doc,10486,1,general.description.keyword,Вознесенский историко-краеведческий музей,10486,http://voznmuseum.rfnn.ru,
museum,_doc,10642,1,general.description.keyword,Выставочный зал Елабужского государственного музея-заповедника,10642,http://www.elabuga.com,
museum,_doc,10649,1,general.description.keyword,Королевские ворота (Историко-культурный центр «Великое посольство»),10649,http://world-ocean.ru/ru,
museum,_doc,10662,1,general.description.keyword,Научно-исследовательское судно «Витязь»,10662,http://world-ocean.ru/ru,
museum,_doc,107,1,general.description.keyword,Фотогалерея им. В. А. Собровина,107,http://bf-gallery.ru/,
museum,_doc,10706,1,general.description.keyword,Сокольский народный краеведческий музей,10706,http://museum-sokolskoe.nnov.muzkult.ru/about,
museum,_doc,10712,1,general.description.keyword,Володарский районный музейный центр,10712,http://rmc-volodarsk.nnov.muzkult.ru,
museum,_doc,10750,1,general.description.keyword,Историко-патриотический комплекс «Музей боевой и трудовой славы»,10750,http://www.sargmbs.ru/,
museum,_doc,10797,1,general.description.keyword,Шатковский районный историко-краеведческий музей,10797,https://shatki-museum.nnov.muzkult.ru/information,
museum,_doc,10801,1,general.description.keyword,Есенинский культурный центр,10801,https://esenin-museum.ru,general.address.comment.keyword
museum,_doc,10809,1,general.description.keyword,Военно-морской центр г. Калининград,10809,http://world-ocean.ru/ru,
museum,_doc,10810,1,general.description.keyword,Выставочные корпуса «Морской Кёнигсберг-Калининград» и «Пакгауз»,10810,http://world-ocean.ru/ru,
museum,_doc,10925,1,general.description.keyword,Кстовский историко-краеведческий музей – центр народной культуры «Берегиня»,10925,https://музейберегиня.ру,
museum,_doc,10948,1,general.description.keyword,Межпоселенческий районный краеведческий музей,10948,http://sosnovskoe-museum.ru,
museum,_doc,10964,1,general.description.keyword,Рыболовное судно «СРТ-129»,10964,http://world-ocean.ru/ru,
museum,_doc,11091,1,general.description.keyword,Литературно-мемориальный музей Ф. М. Достоевского,11091,http://md.spb.ru,
museum,_doc,113,1,general.description.keyword,Валуйский историко-художественный музей,113,http://valmuseum.ru,
museum,_doc,1135,1,general.description.keyword,Белгородский государственный музей народной культуры,1135,http://бгмнк.рф,
museum,_doc,11386,1,general.description.keyword,Историко–краеведческий музей Котельниковского муниципального района,11386,https://muzey-kotelnikovo.ru,
museum,_doc,11398,1,general.description.keyword,Ленинский районный музей,11398,http://lenmuseum.ru,
museum,_doc,11400,1,general.description.keyword,Михайловский краеведческий музей,11400,http://mihkra.ru,
museum,_doc,11428,1,general.description.keyword,Светлоярский музей,11428,http://ik-museum.vgr.muzkult.ru,
museum,_doc,11434,1,general.description.keyword,Чернышковский казачий музей истории и этнографии,11434,https://казачий-музей34.рф/,
museum,_doc,1152,1,general.description.keyword,Музей-усадьба А. Т. Болотова «Дворяниново»,1152,http://bolotovmuseum.tilda.ws,
museum,_doc,1153,1,general.description.keyword,Тульский областной экзотариум. Старая экспозиция,1153,http://tulazoo.ru,
museum,_doc,1154,1,general.description.keyword,Алексинский художественно-краеведческий музей,1154,http://ahkm.ru,
museum,_doc,1159,1,general.description.keyword,Дубенский районный краеведческий музей,1159,http://vizit-dubna.ru,
museum,_doc,11613,1,general.description.keyword,Соловецкий государственный историко-архитектурный и природный музей-заповедник,11613,http://solovky.ru,
museum,_doc,1166,1,general.description.keyword,Историко-мемориальный музейный комплекс «Бобрики»,1166,http://don-musey.tls.muzkult.ru,
museum,_doc,1168,1,general.description.keyword,Ефремовский дом-музей И. А. Бунина,1168,http://bunin-efr.tls.muzkult.ru,
museum,_doc,1169,1,general.description.keyword,Музей Матроны Себинской Московской,1169,https://sebino-matrona.ru/,
museum,_doc,11690,1,general.description.keyword,Главный корпус Музея Мирового океана (аквариумы),11690,http://world-ocean.ru/ru,
museum,_doc,1171,1,general.description.keyword,Куркинский краеведческий музей,1171,http://kurkino-m.tls.muzkult.ru,
museum,_doc,1172,1,general.description.keyword,Археологический музей города Новомосковска,1172,http://museum-nmsk.ru,
museum,_doc,1175,1,general.description.keyword,Плавский районный краеведческий музей,1175,http://plavsk.museum.lbihost.ru,
museum,_doc,1178,1,general.description.keyword,Музей-усадьба А. С. Хомякова «Богучарово»,1178,https://tiam-tula.ru,
museum,_doc,1179,1,general.description.keyword,Музей обороны Тулы,1179,https://tiam-tula.ru,
museum,_doc,11815,1,general.description.keyword,Выставочный зал г. Мурманска,11815,http://v-zal.murm.muzkult.ru,
museum,_doc,11841,1,general.description.keyword,Музей Морского космического флота,11841,http://www.dkmitino.ru,
museum,_doc,11843,1,general.description.keyword,Соседский клуб «Праздник души»,11843,http://www.dkmitino.ru,
museum,_doc,12016,1,general.description.keyword,Волгодонский художественный музей,12016,https://www.museum-vdonsk.ru,
museum,_doc,12071,1,general.description.keyword,Музейно-выставочный центр «Музей моды»,12071,http://fashion-museum.ru,
museum,_doc,12077,1,general.description.keyword,Музей-заповедник «Коломенское»,12077,http://www.mgomz.ru,
museum,_doc,12082,1,general.description.keyword,Музей-усадьба «Люблино»,12082,http://www.mgomz.ru/lublino,
museum,_doc,12098,1,general.description.keyword,Музей русской гармоники А. Мирека,12098,https://www.scriabinmuseum.ru,
museum,_doc,12101,1,general.description.keyword,Музей археологии Москвы,12101,http://mosmuseum.ru/association/archeology,
museum,_doc,12104,1,general.description.keyword,Музей истории «Лефортово»,12104,http://mosmuseum.ru,
museum,_doc,12106,1,general.description.keyword,Дом на набережной,12106,https://dnnmuseum.ru,
museum,_doc,12131,1,general.description.keyword,Музей-заповедник Ф. И. Тютчева «Овстуг»,12131,http://musovstug.ru/index.htm,
museum,_doc,12136,1,general.description.keyword,Дом-музей Ф. И. Шаляпина,12136,http://www.theatremuseum.ru/ru/brn_shl.html,
museum,_doc,12137,1,general.description.keyword,Выставочный зал музея «Разночинный Петербург» на ул. Подольская,12137,https://spbmmrp.ru,
museum,_doc,12141,1,general.description.keyword,Выставочный зал музея «Разночинный Петербург» в Б. Казачьем переулке,12141,https://spbmmrp.ru,
museum,_doc,12143,1,general.description.keyword,Здание бывшей Гауптвахты,12143,http://kosmuseum.ru,
museum,_doc,12183,1,general.description.keyword,Курчатовский краеведческий музей,12183,http://kgkm.kursk-museum.ru,
museum,_doc,12200,1,general.description.keyword,Историко-культурный центр «Дворцовый комплекс Ольденбургских»,12200,https://dvoretsvramoni.ru,
museum,_doc,12233,1,general.description.keyword,Северный морской музей,12233,http://northernmaritime.ru,
museum,_doc,12245,1,general.description.keyword,Актанышский краеведческий музей Республики Татарстан,12245,https://museumakt.wordpress.com,
museum,_doc,12249,1,general.description.keyword,Ненецкий краеведческий музей,12249,http://naomuseum.ru,
museum,_doc,12254,1,general.description.keyword,Центр народных художественных промыслов и ремесел,12254,http://www.ugra-traditionalart.ru,
museum,_doc,12266,1,general.description.keyword,Чистопольский государственный историко-архитектурный и литературный музей-заповедник,12266,http://chisto-muzei.ru,
museum,_doc,12307,1,general.description.keyword,Центр «Эрмитаж-Казань»,12307,https://kazan-kremlin.ru/museums/tsentr-ermitazh-kazan,
museum,_doc,12333,1,general.description.keyword,Государственный музей-заповедник С. А. Есенина,12333,http://museum-esenin.ru,
museum,_doc,12353,1,general.description.keyword,Вельский краеведческий музей имени В. Ф. Кулакова,12353,http://vel-museum.ru,
museum,_doc,12417,1,general.description.keyword,Национальный музей Удмуртской Республики им. К. Герда,12417,http://www.nmur.ru,
museum,_doc,12418,1,general.description.keyword,Курганский областной художественный музей им. Г. А. Травникова,12418,http://kohm.ru,
museum,_doc,12423,1,general.description.keyword,Государственный мемориально-архитектурный комплекс «Музей-усадьба П. И. Чайковского»,12423,http://tchaikovskyhome.ru,
museum,_doc,12430,1,general.description.keyword,Национальный центр декоративно-прикладного искусства и ремесел,12430,http://www.decorudm.ru,
museum,_doc,12459,1,general.description.keyword,Национальный музей Республики Калмыкия имени Н. Н. Пальмова,12459,https://national-museum.kalm.muzkult.ru/news/74862711,
museum,_doc,12493,1,general.description.keyword,Староладожский историко-архитектурный и археологический музей-заповедник,12493,http://ladogamuseum.com,
museum,_doc,12495,1,general.description.keyword,Выставочный центр «Эрмитаж-Выборг»,12495,http://erm.vbgcity.ru,
museum,_doc,12512,1,general.description.keyword,Центральный музей Тавриды,12512,http://tavrida-museum.ru,
museum,_doc,12516,1,general.description.keyword,Симферопольский художественный музей,12516,http://simhm.ru,
museum,_doc,12522,1,general.description.keyword,Музей-заповедник «Судакская крепость»,12522,https://sudak-museum.com,
museum,_doc,12629,1,general.description.keyword,Пристенский краеведческий музей,12629,http://kursk-museum.ru/affiliates/pristenskiy-kraevedcheskiy-muzey,
museum,_doc,12634,1,general.description.keyword,Музей «Россия в Великой войне» в Ратной палате ,12634,http://www.tzar.ru,
museum,_doc,12646,1,general.description.keyword,Усадьба А. А. Фета,12646,http://kursk-museum.ru/affiliates/usadba-a-a-feta,general.address.comment.keyword
museum,_doc,12655,1,general.description.keyword,Национальный музей Республики Коми,12655,http://museumkomi.ru,
museum,_doc,12662,1,general.description.keyword,Музей Григория Распутина,12662,http://muzey-rasputina.ru,
museum,_doc,12676,1,general.description.keyword,Курский литературный музей,12676,http://литературный-музей.рф,
museum,_doc,12677,1,general.description.keyword,Музей Н. В. Плевицкой,12677,http://kursk-museum.ru/affiliates/muzey-n-v-plevitskoy,
museum,_doc,12680,1,general.description.keyword,Дмитриевский краеведческий музей имени А. Ф. Вангенгейма,12680,http://kursk-museum.ru/,
museum,_doc,12762,1,general.description.keyword,Музей-заповедник «Усадьба С. Н. Худекова»,12762,https://museum-khudekov.rzn.muzkult.ru,
museum,_doc,12765,1,general.description.keyword,Музей-заповедник «Казанский кремль»,12765,https://kazan-kremlin.ru,
museum,_doc,12771,1,general.description.keyword,Крымский этнографический музей,12771,http://ethnocrimea.ru,
museum,_doc,12790,1,general.description.keyword,Ленинский мемориал,12790,http://www.leninmemorial.ru,
museum,_doc,12845,1,general.description.keyword,Музей «Градостроительство и архитектура Симбирска-Ульяновска»,12845,http://www.ulzapovednik.ru,
museum,_doc,12863,1,general.description.keyword,Ярославский музей-заповедник,12863,http://www.yarkremlin.ru,
museum,_doc,12875,1,general.description.keyword,Гатчинский дворец,12875,http://gatchinapalace.ru,
museum,_doc,12877,1,general.description.keyword,Приоратский дворец,12877,http://gatchinapalace.ru/dvorec,
museum,_doc,12880,1,general.description.keyword,Картинная галерея имени К. С. Петрова-Водкина,12880,http://radmuseumart.ru/museum/structure,
museum,_doc,12886,1,general.description.keyword,Историко-художественный и литературный музей-заповедник «Абрамцево»,12886,http://www.abramtsevo.net,
museum,_doc,12897,1,general.description.keyword,Музей ювелирного искусства,12897,http://museum.ametist-kostroma.ru,
museum,_doc,12898,1,general.description.keyword,Морской выставочный центр в Светлогорске,12898,http://world-ocean.ru,
museum,_doc,12998,1,general.description.keyword,Копейский краеведческий музей,12998,http://kopeysk-museum.ru,
museum,_doc,13001,1,general.description.keyword,Дом-музей В. И. Ленина,13001,http://www.leninmemorial.ru,
museum,_doc,13023,1,general.description.keyword,Дом-музей художника Н. Н. Хохрякова,13023,http://kirov-artmuzeum.ru,
museum,_doc,13044,1,general.description.keyword,Исторический парк «Россия – моя история» г. Тюмень,13044,https://myhistorypark.ru,
museum,_doc,13050,1,general.description.keyword,Музей «Городская Дума»,13050,http://museum-72.ru,
museum,_doc,13052,1,general.description.keyword,Музей «Дом Машарова»,13052,http://museum-72.ru,
museum,_doc,13054,1,general.description.keyword,Торговый дом «Колокольников и наследники»,13054,http://museum-72.ru,
museum,_doc,13056,1,general.description.keyword,Археологический музей-заповедник на озере Андреевское,13056,http://museum-72.ru,
museum,_doc,13064,1,general.description.keyword,Дворец наместника,13064,http://tiamz.ru/museums/2,
museum,_doc,13066,1,general.description.keyword,Архиерейский дом,13066,http://tiamz.ru/museums/3,
museum,_doc,13071,1,general.description.keyword,Гостиный двор,13071,http://tiamz.ru/museums/4,
museum,_doc,13072,1,general.description.keyword,Рентерея г. Тобольска,13072,http://tiamz.ru/museums/5,
museum,_doc,13073,1,general.description.keyword,Тюремный замок,13073,http://tiamz.ru/museums/9,
museum,_doc,13080,1,general.description.keyword,Музей Партизанской Славы,13080,http://www.smolensk-museum.ru/catalog/muzey_partizanskoy_slavi,
museum,_doc,13087,1,general.description.keyword,Руднянский исторический музей,13087,http://rudnya.museum67.ru,
museum,_doc,13089,1,general.description.keyword,Государственный музей-памятник «Исаакиевский собор»,13089,https://cathedral.ru/ru,
museum,_doc,13091,1,general.description.keyword,Мемориально-художественный музей Владимира Серова,13091,http://gallery.tver.ru/gallery/branches/emmaus,
museum,_doc,13093,1,general.description.keyword,Центр культуры и искусства — дача «Чайка» художника В. К. Бялыницкого-Бируля,13093,http://gallery.tver.ru/gallery/branches/udomlya,
museum,_doc,13128,1,general.description.keyword,Губернская судебная управа,13128,http://tiamz.ru/museums/10,
museum,_doc,13131,1,general.description.keyword,Культурно-выставочный центр имени Тенишевых,13131,http://www.kvcsmolensk.ru,
museum,_doc,13199,1,general.description.keyword,Бутурлиновский народный краеведческий музей,13199,http://butmuzeum.ru,
museum,_doc,13214,1,general.description.keyword,Таловский районный историко-краеведческий музей,13214,http://tal-muz.ru,
museum,_doc,13313,1,general.description.keyword,Мемориально-художественный музей Валентина Серова и усадьбы «Домотканово»,13313,http://gallery.tver.ru/gallery/branches/domotkanovo,
museum,_doc,13333,1,general.description.keyword,Концертно-выставочный зал «Смольный собор»,13333,http://www.cathedral.ru/,
museum,_doc,13440,1,general.description.keyword,Ельнинский музей,13440,http://elnya.museum67.ru,
museum,_doc,13489,1,general.description.keyword,Русский музей. Михайловский дворец,13489,http://rusmuseum.ru,
museum,_doc,13498,1,general.description.keyword,Историко-архелогический и природный музей-заповедник «Гнёздово»,13498,http://gnezdovo-museum.ru,
museum,_doc,13501,1,general.description.keyword,Починковский историко-краеведческий музей,13501,http://pochinok.museum67.ru,
museum,_doc,13531,1,general.description.keyword,Корпус Бенуа,13531,http://www.rusmuseum.ru,
museum,_doc,13533,1,general.description.keyword,Русский музей. Центр мультимедиа,13533,http://rusmuseumvrm.ru/projects/multimedia/rezhim_raboti_centra/index.php,
museum,_doc,13575,1,general.description.keyword,Липецкий областной краеведческий музей,13575,https://museums-48.ru,
museum,_doc,13743,1,general.description.keyword,«Музей истории города Отрадного»,13743,http://museum-otradny.ru,
museum,_doc,13778,1,general.description.keyword,Московский музей современного искусства в Ермолаевском переулке,13778,http://www.mmoma.ru,
museum,_doc,13819,1,general.description.keyword,Центр туризма «Русские крылья»,13819,http://русскиекрылья.рф,
museum,_doc,13861,1,general.description.keyword,Набережная исторического флота Музея Мирового океана,13861,http://world-ocean.ru/ru,
museum,_doc,13870,1,general.description.keyword,"Музей истории донской народной культуры, ремесел и быта",13870,http://veimmuseum.ru,
museum,_doc,13909,1,general.description.keyword,Выставочный зал «Народные картины»,13909,http://naive-museum.ru,
museum,_doc,13990,1,general.description.keyword,Минералогический музей имени А. Е. Ферсмана,13990,http://mkurala.ru,
museum,_doc,13992,1,general.description.keyword,Кушвинский краеведческий музей,13992,http://muzeum-kushva.ru,
museum,_doc,13993,1,general.description.keyword,Нижнесалдинский краеведческий музей им. А. Н. Анциферова,13993,http://muzei-ns.ru,
museum,_doc,13996,1,general.description.keyword,Сухоложский историко-краеведческий музей,13996,http://muzey-slog.ru,
museum,_doc,14,1,general.description.keyword,Белгородский государственный историко-краеведческий музей,14,http://бгикм.рф,
museum,_doc,14112,1,general.description.keyword,Пожарная каланча,14112,http://www.kostromamuseum.ru,
museum,_doc,14118,1,general.description.keyword,Дворянское собрание,14118,http://www.kostromamuseum.ru,
museum,_doc,14123,1,general.description.keyword,Романовский музей,14123,http://www.kostromamuseum.ru,
museum,_doc,14129,1,general.description.keyword,Вохомский краеведческий музей,14129,http://kostromamuseum.ru/affiliate/vohomskij-muzej/o-filiale-vohma/,
museum,_doc,14166,1,general.description.keyword,Исторический музей,14166,http://www.smolensk-museum.ru/catalog/istoricheskiy_muzey,
museum,_doc,14237,1,general.description.keyword,Литературный музей им. М. И. Цветаевой,14237,http://www.elabuga.com,
museum,_doc,14287,1,general.description.keyword,Жердевский народный краеведческий музей,14287,http://zherdevka.ru,
museum,_doc,14288,1,general.description.keyword,Знаменский районный краеведческий музей,14288,http://знаменский-музей.рф,
museum,_doc,14290,1,general.description.keyword,Никифоровский районный краеведческий музей,14290,http://68nik-muzeum.ru,
museum,_doc,14328,1,general.description.keyword,Дом-музей И. И. Крылова,14328,http://novochmuseum.ru,
museum,_doc,14359,1,general.description.keyword,Усадьба М. Т. Куницыной,14359,http://www.korely.ru/heritage/kunitsina,
museum,_doc,14484,1,general.description.keyword,Дом-музей М.Б. Грекова,14484,http://www.novochmuseum.ru,
museum,_doc,14514,1,general.description.keyword,Отдел музейно-выставочной деятельности пгт Октябрьское,14514,https://mvc.hmansy.muzkult.ru,
museum,_doc,14529,1,general.description.keyword,Музей истории и ремесел. Отдел декоративно-прикладного творчества,14529,https://sovmuseum.com/,
museum,_doc,14535,1,general.description.keyword,Краеведческий музей имени Т. В. Великородовой,14535,http://музей-вата.рф/,
museum,_doc,14559,1,general.description.keyword,Государственный историко-археологический музей-заповедник «Херсонес Таврический»,14559,http://chersonesos-sev.ru,
museum,_doc,14560,1,general.description.keyword,Музей обороны Севастополя,14560,http://sevmuseum.ru,
museum,_doc,14589,1,general.description.keyword,Районный краеведческий музей имени Нины Степановны Цехновой,14589,http://kondamuseum.ru,
museum,_doc,14591,1,general.description.keyword,Учинский историко-этнографический музей имени Анатолия Николаевича Хомякова,14591,https://kondamuseum.ru,
museum,_doc,14592,1,general.description.keyword,Русскинской музей Природы и Человека имени Ядрошникова Александра Павловича,14592,https://русскинской-музей.рф,
museum,_doc,146,1,general.description.keyword,Государственный научно-исследовательский музей архитектуры имени А. В. Щусева,146,http://muar.ru,
museum,_doc,14602,1,general.description.keyword,Угутский краеведческий музей им. П. C. Бахлыкова,14602,http://ugutmuseum.ru,
museum,_doc,14678,1,general.description.keyword,Музей истории и этнографии,14678,http://muzeumugorsk.ru,
museum,_doc,14698,1,general.description.keyword,Краеведческий музей г. Покачи,14698,http://museumpokachi.ru,
museum,_doc,14733,1,general.description.keyword,Сургутский художественный музей,14733,http://www.shm-surgut.ru,
museum,_doc,14760,1,general.description.keyword,Дворец Александра III в Массандре,14760,http://worontsovpalace.org,
museum,_doc,14762,1,general.description.keyword,Театральная галерея на Малой Ордынке,14762,http://all.culture.ru/cabinet/places/add,
museum,_doc,14772,1,general.description.keyword,Музей «Кутузовская изба»,14772,http://1812panorama.ru,
museum,_doc,14812,1,general.description.keyword,Старорусский краеведческий музей,14812,http://novgorodmuseum.ru/muzej-zapovednik/staraya-russa.html,
museum,_doc,14817,1,general.description.keyword,Раздорский этнографический музей-заповедник,14817,http://museum-razdory.ru,
museum,_doc,14820,1,general.description.keyword,Дом-музей М. А. Волошина в Коктебеле,14820,http://киммерия-волошина.рф,
museum,_doc,14833,1,general.description.keyword,Рязанский музей путешественников,14833,http://www.travelers-rzn.ru,
museum,_doc,14840,1,general.description.keyword,Галерея искусства стран Европы и Америки XIX–XX вв.,14840,http://www.newpaintart.ru,
museum,_doc,14841,1,general.description.keyword,Государственный музей изобразительных искусств имени А. С. Пушкина. Отдел личных коллекций,14841,http://artprivatecollections.ru,
museum,_doc,14845,1,general.description.keyword,Центр эстетического воспитания «Мусейон»,14845,https://pushkinmuseum.art/education/museyon,
museum,_doc,14870,1,general.description.keyword,МКУК «Орловский краеведческий музей»,14870,http://orlovmuz.ru,
museum,_doc,14896,1,general.description.keyword,Приказная палата,14896,https://museumpskov.ru,
museum,_doc,14902,1,general.description.keyword,Экскурсионно-выставочный центр «Народный дом» музея-заповедника М. А. Шолохова,14902,http://sholokhov.ru,
museum,_doc,14906,1,general.description.keyword,Мемориальная квартира Святослава Рихтера,14906,https://pushkinmuseum.art/museum/buildings/richter/index.php,
museum,_doc,14907,1,general.description.keyword,"Дом, в котором родился М. А. Шолохов (Музей-заповедник М. А. Шолохова)",14907,http://sholokhov.ru,
museum,_doc,14908,1,general.description.keyword,Подворье Т. А. Каргина (Музей-заповедник М. А. Шолохова),14908,http://sholokhov.ru,
museum,_doc,14911,1,general.description.keyword,«Шолохов-Центр» музея-заповедника М. А. Шолохова,14911,http://sholokhov.ru,
museum,_doc,14934,1,general.description.keyword,Муниципальное учреждение «Районный краеведческий музей»,14934,https://rkm.rnd.muzkult.ru/,
museum,_doc,14940,1,general.description.keyword,Спас-Клепиковская второклассная учительская школа,14940,http://museum-esenin.ru,
museum,_doc,14945,1,general.description.keyword,Выставочный зал федеральных архивов,14945,http://www.statearchive.ru,
museum,_doc,14974,1,general.description.keyword,Ставропольский государственный музей-заповедник,14974,http://stavmuseum.ru,
museum,_doc,14978,1,general.description.keyword,Национальный музей Удорского района,14978,http://koslan-musej.komi.muzkult.ru/,
museum,_doc,14993,1,general.description.keyword,Историко-краеведческий музей села Черный Яр,14993,https://astmuseum.ru/ru/,
museum,_doc,14996,1,general.description.keyword,Альметьевский краеведческий музей,14996,https://almetkraeved.ru,
museum,_doc,14999,1,general.description.keyword,Музей Железнодорожного района города Новосибирска,14999,http://m-nsk.ru,
museum,_doc,15000,1,general.description.keyword,Поимский историко-архитектурный музей,15000,http://poim-museum.ucoz.ru/,
museum,_doc,15004,1,general.description.keyword,Новенский филиал Ивнянского историко-краеведческого музея,15004,http://ivnyamuseumnov.ucoz.ru,
museum,_doc,15005,1,general.description.keyword,Почепский краеведческий музей,15005,https://bgkm.ru/filialy/pochepskij-kraevedcheskij-muzej,
museum,_doc,15007,1,general.description.keyword,Мемориальный комплекс «Хацунь»,15007,https://bgkm.ru/filialy/memorialnyj-kompleks-khatsun,
museum,_doc,15009,1,general.description.keyword,Давлекановский историко-краеведческий музей,15009,http://davlekanmuseum.ru,
museum,_doc,15014,1,general.description.keyword,Краснокамский районный историко-краеведческий музей,15014,http://mus-krasnkultura.bash.muzkult.ru,
museum,_doc,15017,1,general.description.keyword,МБУК «Тесинский художественный музей»,15017,https://tes-museum.ru/,
museum,_doc,15018,1,general.description.keyword,Зеленокумский краеведческий музей,15018,https://zkm.stv.muzkult.ru,
museum,_doc,15019,1,general.description.keyword,Североуральский краеведческий музей,15019,http://sev-ural-museum.ru,
museum,_doc,15023,1,general.description.keyword,Краеведческий музей Аяно-Майского района,15023,http://muzeum-nelkan.ru/admin,
museum,_doc,15025,1,general.description.keyword,Егорьевский историко-художественный музей,15025,http://egmuseum.ru,
museum,_doc,15030,1,general.description.keyword,Ялтинский историко-литературный музей,15030,http://яилм.рф,
museum,_doc,15033,1,general.description.keyword,Чернянский районный краеведческий музей,15033,http://www.chrkm.ru,
museum,_doc,15035,1,general.description.keyword,Иркутский областной художественный музей им. В. П. Сукачева,15035,http://www.museum.irk.ru,
museum,_doc,15038,1,general.description.keyword,Историко-краеведческий музей Брянского района,15038,http://музейбрн.рф,
museum,_doc,15041,1,general.description.keyword,Музей Героев Советского Союза и России,15041,http://1812panorama.ru,
museum,_doc,15042,1,general.description.keyword,Литературно-художественный музей книги А. П. Чехова «Остров Сахалин»,15042,http://chekhov-book-museum.ru,
museum,_doc,15058,1,general.description.keyword,Пильнинский районный краеведческий музей,15058,http://пильна-музей.рф,
museum,_doc,15062,1,general.description.keyword,Троицкий краеведческий музей,15062,http://trmuseum.ru,
museum,_doc,15063,1,general.description.keyword,Первомайский районный краеведческий музей,15063,https://pervmuseum.wordpress.com,
museum,_doc,15064,1,general.description.keyword,Глазовский краеведческий музей,15064,http://www.glazovmuseum.ru,
museum,_doc,15065,1,general.description.keyword,Музей истории крестьянства имени А. М. Ронжина,15065,http://mik-museum.ru,
museum,_doc,15069,1,general.description.keyword,Музей истории и культуры Сыктывдинского района имени Э. А. Налимовой,15069,http://www.museum-syktyvdin.ru,
museum,_doc,15071,1,general.description.keyword,Музей «Сарай Н.А. Емельянова»,15071,https://www.razlivmuseum.spb.ru/,
museum,_doc,15073,1,general.description.keyword,Политехнический музей,15073,https://polytech.one,
museum,_doc,15077,1,general.description.keyword,Андроповский районный краеведческий музей,15077,http://www.andropmuzei.ru,
museum,_doc,15080,1,general.description.keyword,Научно-культурный центр Пушкинского заповедника,15080,https://pushkinland.ru,
museum,_doc,15082,1,general.description.keyword,Сямженский районный краеведческий музей,15082,https://rkm-syamzha.vlg.muzkult.ru,
museum,_doc,15087,1,general.description.keyword,Пронский краеведческий музей,15087,http://pkm.rzn.muzkult.ru,
museum,_doc,15091,1,general.description.keyword,Камчатский краевой художественный музей,15091,http://kamartmuseum.ru,
